accident	事故
accordion	手风琴
actor	演员
advantage	优势
advice	建议
agreement	协议
airport	飞机场
alligator	鳄鱼
ambulance	救护车
analogy	比喻
animosity	敌意
ant	蚂蚁
apartment	公寓
apology	歉意
applause	掌声
approached	接近
apricot	杏子
arm	手臂
army	军队
artist	艺术家
asparagus	芦笋
ate	吃
attribute	属性
audience	观众
author	作者
avalanche	雪崩
awe	敬畏
axe	斧头
bagpipe	风笛
ball	球
banana	香蕉
banjo	二胡
banker	银行家
bar	酒吧
barbecue	烧烤
baseball	棒球
battle	战斗
bay	海湾
beach	海滩
bed	床
bee	蜜蜂
beer	啤酒
belch	打嗝
belief	信仰
bell	铃铛
bicycle	自行车
bird	鸟
blue	蓝色
blueberry	蓝莓
boat	船
bonfire	篝火
book	书
bought	买
boy	男生
bread	面包
bribe	贿赂
bridge	桥
broccoli	西兰花
broke	打破
bugle	号角
built	建造
business	商业
businessman	商人
butterfly	蝴蝶
cab	出租车
cabbage	卷心菜
cabinet	储物柜
camel	骆驼
camera	照相机
car	汽车
carnival	狂欢节
carriage	马车
carried	携带
carrot	胡萝卜
cash	现金
cathedral	大教堂
celebrated	庆祝
cellphone	手机
chair	椅子
cheese	奶酪
cheetah	猎豹
cherry	樱桃
chestnut	板栗
chicken	鸡
child	孩子
chime	钟声
chipmunk	花栗鼠
chocolate	巧克力
choir	唱诗班
church	教会
circus	马戏团
clang	叮当声
clarinet	单簧管
cloud	云
clue	线索
coffee	咖啡
college	学院
comb	梳子
commander	指挥官
company	公司
computer	计算机
corkscrew	开瓶器
corn	玉米
cough	咳嗽
council	议会
couple	情侣
court	法庭
cranberry	蔓越莓
crib	婴儿床
crossed	越过
crow	乌鸦
cucumber	黄瓜
curse	诅咒
cyclone	气旋
damaged	损坏
dandelion	蒲公英
dark	黑暗的
day	日子
dead	死的
debate	辩论
deceit	欺骗
delivered	递送
denial	否认
desk	桌子
destroyed	毁坏
dictation	听写
dinner	晚餐
diplomat	外交官
doctor	医生
dog	狗
dolphin	海豚
door	门
downpour	倾盆大雨
drank	喝酒
dread	恐惧
drew	绘画
driver	司机
dropped	掉落
drum	鼓
duck	鸭子
editor	编辑
egg	蛋
eggplant	茄子
election	选举
elephant	大象
elevator	电梯
elm	榆树
embassy	大使馆
embrace	拥抱
empty	空的
ended	结束
engineer	工程师
envy	嫉妒
era	时代
etiquette	礼仪
evening	晚上
excuse	借口
expensive	昂贵的
explosion	爆炸
eye	眼睛
fallacy	谬论
family	家庭
famous	著名的
farm	农场
farmer	农民
fate	命运
faucet	水龙头
feared	害怕
feather	羽毛
fed	喂养
fee	费用
fence	栅栏
festival	节日
fiddle	小提琴
field	田野
finger	手指
fireworks	烟花
fish	鱼
fixed	修理
flew	飞翔
